"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет редирект и ошибку при попытке зайти в каталог без кук","431","test_access_denied_without_auth[chromium]","tests","Mon May 18 17:11:43 UTC 2026","passed","Mon May 18 17:11:43 UTC 2026","","test_inventory","",""
"Тест проверки ошибки при вводе неверного логина и пароля","141","test_login_with_invalid_credentials[chromium]","tests","Mon May 18 17:11:43 UTC 2026","passed","Mon May 18 17:11:44 UTC 2026","","test_login","",""
"Тест успешной авторизации с валидными данными","490","test_successful_login[chromium]","tests","Mon May 18 17:11:43 UTC 2026","passed","Mon May 18 17:11:43 UTC 2026","","test_login","",""
"Сквозной тест: Добавление товара ➔ Проверка счетчика ➔ Валидация данных в корзине ➔ Удаление","666","test_full_cart_workflow_e2e[chromium]","tests","Mon May 18 17:11:46 UTC 2026","passed","Mon May 18 17:11:47 UTC 2026","","test_inventory","",""
"Тест проверяет работу фильтра сортировки товаров по имени","580","test_product_sorting_by_name[chromium]","tests","Mon May 18 17:11:44 UTC 2026","passed","Mon May 18 17:11:44 UTC 2026","","test_inventory","",""
"Тест проверяет работу фильтра сортировки товаров по цене","581","test_product_sorting_by_price[chromium]","tests","Mon May 18 17:11:44 UTC 2026","passed","Mon May 18 17:11:45 UTC 2026","","test_inventory","",""
"Тест проверяет, что после добавления товара на главной, кнопка внутри карточки тоже меняется на Remove","599","test_product_button_syncs_to_remove_state[chromium]","tests","Mon May 18 17:11:45 UTC 2026","passed","Mon May 18 17:11:46 UTC 2026","","test_inventory","",""
"Тест проверяет, что после перезагрузки страницы авторизация не слетает","597","test_session_persists_after_reload[chromium]","tests","Mon May 18 17:11:42 UTC 2026","passed","Mon May 18 17:11:43 UTC 2026","","test_inventory","",""
"Тест проверяет, что цена каждого товара в каталоге совпадает с ценой на его личной странице","1477","test_product_prices_match_on_detail_page[chromium]","tests","Mon May 18 17:11:44 UTC 2026","passed","Mon May 18 17:11:46 UTC 2026","","test_inventory","",""
"Тест проверяет корректность отображения всех карточек товаров в каталоге","760","test_all_products_display_correctly[chromium]","tests","Mon May 18 17:11:43 UTC 2026","passed","Mon May 18 17:11:44 UTC 2026","","test_inventory","",""
"Сквозной тест покупки двух товаров с полной валидацией математики цен и переходов","834","test_successful_purchase_workflow_e2e[chromium]","tests","Mon May 18 17:11:47 UTC 2026","passed","Mon May 18 17:11:47 UTC 2026","","test_inventory","",""
"Негативный тест: Проверка ошибки обязательности полей при оформлении заказа","640","test_checkout_first_name_validation[chromium]","tests","Mon May 18 17:11:46 UTC 2026","passed","Mon May 18 17:11:46 UTC 2026","","test_inventory","",""
